customer_id,signup_date,industry,region,sales_channel,initial_tier,discount_pct
C00001,2025-02-04,Financial Services,North America,Self-Serve,Enterprise,20
C00002,2025-05-11,Retail,EMEA,Self-Serve,Starter,0
C00003,2024-09-26,Financial Services,North America,Direct,Growth,0
C00004,2024-07-31,Technology,APAC,Direct,Starter,0
C00005,2024-04-07,Financial Services,LATAM,Self-Serve,Starter,0
C00006,2024-04-27,Technology,North America,Self-Serve,Starter,0
C00007,2025-12-07,Technology,EMEA,Partner,Growth,10
C00008,2024-12-06,Manufacturing,North America,Self-Serve,Starter,0
C00009,2025-08-24,Media,North America,Self-Serve,Growth,0
C00010,2024-05-09,Technology,North America,Partner,Growth,15
C00011,2025-01-31,Retail,North America,Self-Serve,Starter,10
C00012,2025-03-23,Technology,North America,Direct,Starter,0
C00013,2025-07-09,Retail,North America,Partner,Starter,10
C00014,2024-03-10,Healthcare,North America,Partner,Growth,10
C00015,2023-08-15,Manufacturing,EMEA,Direct,Starter,5
C00016,2024-06-09,Technology,LATAM,Direct,Starter,0
C00017,2025-08-29,Financial Services,North America,Direct,Growth,10
C00018,2024-05-21,Other,EMEA,Partner,Growth,5
C00019,2025-03-15,Financial Services,APAC,Direct,Enterprise,15
C00020,2023-07-09,Retail,North America,Partner,Growth,10
C00021,2025-12-06,Manufacturing,North America,Self-Serve,Growth,15
C00022,2024-09-28,Technology,North America,Self-Serve,Enterprise,15
C00023,2025-10-19,Healthcare,North America,Self-Serve,Starter,0
C00024,2023-12-15,Technology,EMEA,Self-Serve,Growth,0
C00025,2025-12-11,Retail,North America,Direct,Enterprise,15
C00026,2024-01-14,Media,North America,Self-Serve,Starter,10
C00027,2025-03-24,Manufacturing,North America,Direct,Starter,5
C00028,2024-08-02,Technology,North America,Self-Serve,Growth,10
C00029,2023-11-23,Financial Services,EMEA,Self-Serve,Enterprise,25
C00030,2024-03-27,Retail,North America,Direct,Starter,10
C00031,2025-11-04,Healthcare,North America,Direct,Enterprise,15
C00032,2023-06-15,Healthcare,North America,Self-Serve,Enterprise,5
C00033,2025-03-09,Other,North America,Self-Serve,Starter,0
C00034,2023-12-26,Technology,North America,Self-Serve,Starter,0
C00035,2025-09-10,Financial Services,APAC,Partner,Starter,10
C00036,2025-12-30,Media,LATAM,Partner,Growth,5
C00037,2024-06-16,Retail,APAC,Partner,Starter,0
C00038,2025-12-18,Technology,EMEA,Self-Serve,Starter,10
C00039,2025-12-26,Healthcare,EMEA,Self-Serve,Starter,0
C00040,2024-12-08,Retail,EMEA,Self-Serve,Starter,5
C00041,2025-10-20,Retail,North America,Direct,Growth,0
C00042,2024-12-23,Manufacturing,North America,Self-Serve,Enterprise,10
C00043,2024-12-08,Financial Services,North America,Direct,Growth,5
C00044,2025-11-03,Technology,EMEA,Self-Serve,Starter,10
C00045,2025-02-10,Retail,APAC,Partner,Starter,5
C00046,2025-12-29,Other,North America,Self-Serve,Starter,0
C00047,2025-09-16,Media,North America,Self-Serve,Growth,15
C00048,2024-02-25,Other,APAC,Direct,Growth,10
C00049,2024-02-22,Healthcare,APAC,Self-Serve,Starter,0
C00050,2025-05-12,Financial Services,North America,Self-Serve,Starter,10
C00051,2025-01-30,Technology,North America,Partner,Growth,5
C00052,2025-01-30,Media,North America,Self-Serve,Starter,0
C00053,2023-09-12,Retail,EMEA,Direct,Starter,10
C00054,2025-10-07,Retail,APAC,Direct,Starter,0
C00055,2023-03-28,Technology,APAC,Partner,Starter,0
C00056,2023-11-11,Technology,North America,Direct,Growth,10
C00057,2025-12-08,Manufacturing,APAC,Self-Serve,Starter,0
C00058,2025-09-16,Financial Services,EMEA,Self-Serve,Enterprise,25
C00059,2025-03-05,Manufacturing,North America,Self-Serve,Growth,10
C00060,2025-09-08,Media,North America,Direct,Starter,0
C00061,2025-07-23,Media,North America,Direct,Starter,0
C00062,2025-09-01,Other,North America,Direct,Starter,5
C00063,2024-03-28,Financial Services,APAC,Self-Serve,Growth,5
C00064,2023-03-22,Healthcare,North America,Direct,Starter,5
C00065,2023-07-14,Education,North America,Self-Serve,Starter,5
C00066,2025-10-26,Retail,EMEA,Direct,Growth,5
C00067,2024-07-12,Education,APAC,Direct,Growth,0
C00068,2025-04-21,Technology,North America,Self-Serve,Starter,0
C00069,2024-11-14,Technology,EMEA,Self-Serve,Growth,0
C00070,2025-01-12,Technology,EMEA,Self-Serve,Starter,0
C00071,2025-06-21,Healthcare,North America,Self-Serve,Growth,10
C00072,2024-08-24,Education,APAC,Self-Serve,Starter,5
C00073,2025-02-27,Healthcare,North America,Partner,Starter,0
C00074,2023-11-28,Technology,North America,Self-Serve,Starter,0
C00075,2024-08-06,Education,EMEA,Direct,Starter,0
C00076,2023-12-21,Healthcare,North America,Direct,Enterprise,10
C00077,2025-06-15,Technology,APAC,Direct,Starter,5
C00078,2023-12-27,Media,North America,Direct,Growth,10
C00079,2024-12-24,Other,APAC,Direct,Growth,10
C00080,2024-07-08,Education,North America,Self-Serve,Growth,10
C00081,2024-01-07,Technology,EMEA,Direct,Starter,10
C00082,2023-12-15,Retail,EMEA,Self-Serve,Starter,5
C00083,2023-05-27,Financial Services,North America,Self-Serve,Starter,0
C00084,2024-06-18,Retail,North America,Self-Serve,Starter,5
C00085,2025-11-13,Financial Services,APAC,Direct,Growth,5
C00086,2024-02-21,Technology,APAC,Partner,Starter,10
C00087,2024-11-05,Healthcare,North America,Self-Serve,Starter,0
C00088,2024-05-29,Healthcare,APAC,Direct,Enterprise,15
C00089,2025-12-14,Retail,APAC,Direct,Growth,0
C00090,2025-02-07,Financial Services,North America,Self-Serve,Starter,0
C00091,2024-08-05,Technology,APAC,Self-Serve,Enterprise,15
C00092,2023-12-30,Financial Services,North America,Direct,Enterprise,15
C00093,2023-11-28,Financial Services,LATAM,Self-Serve,Starter,0
C00094,2023-10-29,Financial Services,North America,Self-Serve,Growth,10
C00095,2025-11-14,Retail,North America,Self-Serve,Starter,10
C00096,2025-04-20,Manufacturing,North America,Self-Serve,Growth,5
C00097,2024-12-05,Education,North America,Partner,Starter,5
C00098,2025-03-25,Healthcare,North America,Direct,Enterprise,20
C00099,2025-07-10,Media,EMEA,Self-Serve,Starter,10
C00100,2024-05-09,Retail,North America,Partner,Growth,5
C00101,2024-07-15,Technology,APAC,Self-Serve,Starter,0
C00102,2025-05-04,Other,North America,Direct,Starter,0
C00103,2024-08-16,Media,EMEA,Self-Serve,Starter,0
C00104,2024-01-30,Retail,EMEA,Direct,Growth,5
C00105,2023-03-05,Media,North America,Self-Serve,Growth,5
C00106,2024-01-31,Healthcare,APAC,Direct,Growth,0
C00107,2023-06-03,Manufacturing,North America,Direct,Growth,15
C00108,2025-04-14,Retail,North America,Self-Serve,Starter,0
C00109,2024-02-29,Healthcare,North America,Direct,Starter,10
C00110,2024-11-10,Technology,North America,Self-Serve,Starter,10
C00111,2023-10-21,Financial Services,EMEA,Direct,Starter,0
C00112,2025-05-09,Technology,EMEA,Direct,Growth,0
C00113,2025-08-03,Technology,North America,Self-Serve,Growth,0
C00114,2024-01-25,Other,EMEA,Direct,Starter,0
C00115,2023-06-27,Financial Services,North America,Self-Serve,Starter,0
C00116,2023-12-31,Media,North America,Self-Serve,Starter,5
C00117,2025-01-26,Financial Services,North America,Direct,Starter,0
C00118,2023-07-18,Manufacturing,EMEA,Direct,Starter,5
C00119,2024-05-20,Education,North America,Direct,Starter,5
C00120,2025-01-18,Healthcare,EMEA,Partner,Starter,0
C00121,2024-01-14,Financial Services,North America,Direct,Starter,0
C00122,2024-08-01,Healthcare,North America,Self-Serve,Growth,15
C00123,2025-08-28,Financial Services,North America,Self-Serve,Enterprise,15
