subscription_id,customer_id,tier,start_date,end_date,end_reason
S000001,C00001,Enterprise,2025-02-01,2025-12-01,Active
S000002,C00002,Starter,2025-05-01,2025-12-01,Active
S000003,C00003,Growth,2024-09-01,2025-12-01,Active
S000004,C00004,Starter,2024-07-01,2025-01-01,Churn
S000005,C00005,Starter,2024-04-01,2025-01-01,Churn
S000006,C00006,Starter,2024-04-01,2025-06-01,Churn
S000007,C00007,Growth,2025-12-01,2025-12-01,Active
S000008,C00008,Starter,2024-12-01,2025-12-01,Active
S000009,C00009,Growth,2025-08-01,2025-12-01,Active
S000010,C00010,Growth,2024-05-01,2025-12-01,Active
S000011,C00011,Starter,2025-01-01,2025-12-01,Active
S000012,C00012,Starter,2025-03-01,2025-12-01,Active
S000013,C00013,Starter,2025-07-01,2025-12-01,Active
S000014,C00014,Growth,2024-03-01,2025-09-01,Upgrade
S000015,C00014,Enterprise,2025-10-01,2025-12-01,Active
S000016,C00015,Starter,2023-08-01,2023-09-01,Churn
S000017,C00016,Starter,2024-06-01,2025-12-01,Active
S000018,C00017,Growth,2025-08-01,2025-12-01,Active
S000019,C00018,Growth,2024-05-01,2025-12-01,Active
S000020,C00019,Enterprise,2025-03-01,2025-12-01,Active
S000021,C00020,Growth,2023-07-01,2025-11-01,Churn
S000022,C00021,Growth,2025-12-01,2025-12-01,Active
S000023,C00022,Enterprise,2024-09-01,2025-04-01,Churn
S000024,C00023,Starter,2025-10-01,2025-12-01,Active
S000025,C00024,Growth,2023-12-01,2025-12-01,Active
S000026,C00025,Enterprise,2025-12-01,2025-12-01,Active
S000027,C00026,Starter,2024-01-01,2025-06-01,Churn
S000028,C00027,Starter,2025-03-01,2025-12-01,Active
S000029,C00028,Growth,2024-08-01,2025-12-01,Active
S000030,C00029,Enterprise,2023-11-01,2025-12-01,Active
S000031,C00030,Starter,2024-03-01,2025-12-01,Active
S000032,C00031,Enterprise,2025-11-01,2025-12-01,Active
S000033,C00032,Enterprise,2023-06-01,2025-12-01,Active
